Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-10-26,25.881271,30.4305,36.28186,75.20983,48.537342,103.050156,47.18384,0.6915869,58.858814,51.95876
2015-10-27,25.717392,30.5505,36.366226,75.397964,48.33985,102.980644,46.69677,0.6911007,58.706863,51.875572
2015-10-28,26.777058,30.855,36.569687,75.6162,49.752674,103.47718,46.949,0.6966898,58.114414,52.636845
2015-10-29,27.059938,31.3275,36.963215,76.285995,49.532402,104.15246,46.40976,0.6726323,58.501812,52.604866
2015-10-30,26.828695,31.295,36.59301,76.030136,48.803196,101.26266,45.78354,0.6893996,58.01567,52.93112
2015-11-02,27.20587,31.4175,37.106636,76.888,49.78306,102.593346,46.305397,0.69741875,58.182785,54.55604
2015-11-03,27.517937,31.2655,37.16022,76.72999,49.965366,101.86842,47.09686,0.69255877,58.524593,55.560383
2015-11-04,27.389965,32.0475,37.482292,76.71494,50.018528,103.21899,47.31431,0.6811376,58.532185,55.00385
2015-11-05,27.2637,32.7825,37.748283,77.008415,50.466686,108.00555,47.296913,0.67336136,58.023273,54.255352
2015-11-06,27.295269,32.9685,37.794437,76.69988,52.00104,106.357056,47.76657,0.7666747,57.40043,54.03785
2015-11-09,27.18479,32.7745,37.455498,75.8871,51.188293,105.75129,47.105556,0.7632726,57.271305,52.882755
2015-11-10,26.328009,32.984,37.628693,76.34617,51.40856,107.161446,46.540222,0.7486926,57.55233,53.14088
2015-11-11,26.179203,33.6625,37.97557,76.65472,51.157894,108.253815,46.661987,0.74140215,57.696655,52.66982
2015-11-12,26.091269,33.28,37.542843,75.458176,50.132473,107.270676,46.374958,0.7387295,56.709236,51.243675
2015-11-13,25.329182,32.1175,36.72601,75.16467,49.79824,103.228905,45.957493,0.72414905,56.177513,50.39834
2015-11-16,25.744043,32.3905,37.239624,76.17309,50.519855,103.3183,46.76636,0.7387295,57.195347,52.205204
2015-11-17,25.633562,32.165,37.01929,76.38379,50.231205,104.40073,46.3811,0.7387295,57.020638,51.598583
2015-11-18,26.445253,33.177,37.71553,77.26429,51.23385,107.0224,47.151627,0.75690174,57.651085,52.101933
2015-11-19,26.781199,33.0635,37.712055,77.12883,51.393368,105.52289,47.23044,0.75909716,57.89414,51.818012
2015-11-20,26.898447,33.4225,38.55866,77.68981,51.302216,106.57555,47.449326,0.7656831,57.590317,51.488895
2015-11-23,26.548975,33.9495,38.54377,77.90966,50.80089,106.20811,47.449326,0.7542184,57.704247,51.80509
2015-11-24,26.80375,33.5575,38.192924,77.35627,50.72494,105.0065,47.501873,0.7603168,58.068844,52.837574
2015-11-25,26.6121,33.767,38.174564,77.295616,50.7857,104.678795,47.01153,0.759341,57.651085,52.431046
2015-11-27,26.562492,33.663,38.309048,77.60643,51.02117,104.71851,47.221664,0.7656831,57.499165,52.418133
2015-11-30,26.672981,33.24,37.85647,76.74978,50.648983,103.51689,47.58944,0.7737326,56.845947,52.69563
2015-12-01,26.456522,33.953,38.89561,77.59883,51.3554,106.37692,48.351215,0.7988573,57.681454,52.844055
2015-12-02,26.217531,33.8005,38.600845,77.363846,50.633797,105.334206,48.342457,0.7927589,57.567535,51.334038
2015-12-03,25.974026,33.3125,38.12196,76.40864,49.980545,103.65593,47.458103,0.7910515,57.52955,50.59837
2015-12-04,26.837564,33.632,38.66833,78.046135,51.568077,105.44344,48.95539,0.82324964,59.11704,50.88876
2015-12-07,26.66846,33.4915,38.35967,78.32659,50.892048,104.8774,48.867836,0.80763835,59.52721,49.559437
2015-12-08,26.657198,33.8665,38.46636,77.644325,50.102074,105.75129,48.850315,0.8186148,59.056282,48.15913
2015-12-09,26.06872,33.2395,37.84158,77.439644,49.722294,103.874405,48.141068,0.7978812,59.018295,48.804424
2015-12-10,26.192722,33.116,37.717022,77.81112,49.836235,104.68873,48.394993,0.8044673,59.08668,48.84314
